"","WT_4wk_chow","WT_1wk_WD","WT_4wk_WD"
"2",0.152669798414585,0.0591365366659913,0.660163441655372
"3",0.226048358310099,0.258675338174839,0.226048358310099
"4",0.107249601041756,0.152669798414585,0.0591365366659913
"5",0.152669798414585,0.503133247271174,0.0323276201877742
"7",0.226048358310099,0.86165336347381,0.226048358310099
"8",0.989640278940417,0.0591365366659913,0.0591365366659913
